"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"ProdutAlgCar";"ProdutPluma";"ProdutCarAlg";"RendPluma";"ProducAlgCar";"ProducPluma";"ProducCarAlg"
"111";"AM";2004;NA;149,389285714286;191,475163398693;999,978961;32,7554435410959;22,956698972028;"2004.05";0;0;0;0;0;0;0;0
"112";"AP";2004;NA;217,683333333333;225,108333333333;1009,43666666667;31,9466689166667;23,8583738333333;"2004.05";0;0;0;0;0;0;0;0
"113";"BA";2004;NA;203,84501607717;80,2297619047619;961,042956351724;29,9063275348101;19,4281731322581;"2004.05";247;3300;1283,7;2016,3;38,9;782,1;317,0739;498,0261
"114";"CE";2004;NA;227,233571428571;103,265957446809;968,486234554348;31,9187835571429;21,8689068928571;"2004.05";10,2;630;207,9;422,1;33;6,4;2,12058;4,30542
"115";"DF";2004;NA;194,870833333333;129,070833333333;890,38339375;26,910445875;16,0187520833333;"2004.05";4,2;3435;1305,3;2129,7;38;14,4;5,48226;8,94474
"116";"ES";2004;NA;173,509090909091;142,283333333333;1011,40580666667;29,11950125;20,9838408333333;"2004.05";0;0;0;0;0;0;0;0
"117";"GO";2004;NA;205,688495575221;135,094696969697;933,362836541667;30,3088081679389;18,4799062651515;"2004.05";143,7;2925;1111,5;1813,5;38;420,3;159,72255;260,59995
"118";"MA";2004;NA;215,502702702703;151,377083333333;991,624645892473;33,0527903006993;22,9224607153285;"2004.05";9;2400;900;1500;37,5;21,6;8,1;13,5
"119";"MG";2004;67,7253219715762;191,48;123,362891986063;933,854699071782;28,5280017521815;16,7560099494585;"2004.05";54,2;2610;978,75;1631,25;37,5;141,5;53,04825;88,41375
"120";"MS";2004;NA;212,828;117,141666666667;967,423061270833;30,4012443728814;18,6459051166667;"2004.05";58,9;3060;1168,92;1891,08;38,2;180,2;68,849388;111,384612
"121";"MT";2004;NA;181,777570093458;143,177099236641;982,186226854369;32,8347454031008;20,1933220305344;"2004.05";451,6;3420;1289,34;2130,66;37,7;1544,5;582,265944;962,206056
"122";"PA";2004;NA;191,256687898089;187,917318435754;996,329455514286;32,4093826306818;23,4182944642857;"2004.05";0;0;0;0;0;0;0;0
"123";"PB";2004;NA;221,511428571429;111,191428571429;964,710687542373;30,3219586285714;20,8985352428571;"2004.05";19,5;795;262,35;532,65;33;17,9;5,115825;10,386675
"124";"PE";2004;65,2814420909091;222,385227272727;89,8877777777778;957,454070444444;29,6362856111111;20,1961129222222;"2004.05";3,7;525;173,25;351,75;33;1,9;0,641025;1,301475
"125";"PI";2004;59,353864952381;247,60974025974;94,2806451612903;981,123530552941;33,9284515483871;22,0499580580645;"2004.05";15;675;222,75;452,25;33;10,1;3,34125;6,78375
"126";"PR";2004;NA;172,238947368421;140,496875;930,217527238095;25,5634215416667;14,7144469895833;"2004.05";56,2;1395;492,435;902,565;35,3;78,4;27,674847;50,724153
"127";"RJ";2004;NA;161,539130434783;109,901388888889;966,712775708333;27,9307822361111;18,2696423333333;"2004.05";0;0;0;0;0;0;0;0
"128";"RN";2004;56,3019039090909;235,19512195122;104,778048780488;989,649286702128;32,2783853902439;22,7651835243902;"2004.05";18,4;555;183,15;371,85;33;10,2;3,36996;6,84204
"129";"RO";2004;NA;NA;NA;NA;NA;NA;"2004.05";0;0;0;0;0;0;0;0
"130";"RR";2004;NA;181,963636363636;170,765217391304;NA;33,7447926956522;22,9718165217391;"2004.05";0;0;0;0;0;0;0;0
"131";"RS";2004;NA;199,137962962963;106,587962962963;957,33051244;24,0379008240741;13,6907478240741;"2004.05";0;0;0;0;0;0;0;0
"132";"SC";2004;NA;175,75;132,083333333333;912,881129411765;23,6343442619048;13,6929524642857;"2004.05";0;0;0;0;0;0;0;0
"133";"SE";2004;NA;194,844444444444;94,9111111111111;995,204985066667;30,0041589166667;21,9193172777778;"2004.05";0;0;0;0;0;0;0;0
"134";"SP";2004;NA;189,670754716981;123,210416666667;931,888158647059;26,8791124125874;16,5357733875969;"2004.05";78,3;2040;754,8;1285,2;37;159,7;59,10084;100,63116
"135";"TO";2004;NA;199,047887323944;148,4;977,749039652778;33,1756034057971;21,5303053611111;"2004.05";1,4;3450;1259,25;2190,75;36,5;4,8;1,76295;3,06705
"136";"AC";2005;NA;153,05;165,025;989,733163791667;31,9791463888889;21,6128661111111;"2005.06";0;0;0;0;0;0;0;0
"137";"AL";2005;NA;223,79298245614;98,0775862068966;974,870399724138;30,2848644137931;21,4022380172414;"2005.06";10,2;405;133,65;271,35;33;4,131;1,36323;2,76777
"138";"AM";2005;NA;151,946428571429;196,92298136646;1001,79745215789;33,1858955584416;23,1976799426752;"2005.06";0;0;0;0;0;0;0;0
"139";"AP";2005;NA;209,825;215,958333333333;NA;32,0089273333333;24,37609775;"2005.06";0;0;0;0;0;0;0;0
"140";"BA";2005;NA;203,03679245283;86,8191044776119;961,443953494881;30,10230191875;19,818164140625;"2005.06";233,7;3345;1294,515;2050,485;38,7;781,7265;302,5281555;479,1983445
"141";"CE";2005;NA;239,977372262774;62,2709219858156;970,593216938776;32,7719066028369;22,2705715957447;"2005.06";9,7;825;288,75;536,25;35;8,0025;2,800875;5,201625
"142";"DF";2005;NA;198,941666666667;141,495833333333;890,187648416667;27,3406304166667;16,2986040833333;"2005.06";2,9;3030;1151,4;1878,6;38;8,787;3,33906;5,44794
"143";"ES";2005;NA;170,829166666667;144,35;1013,60666666667;29,5531825833333;21,2352915;"2005.06";0;0;0;0;0;0;0;0
"144";"GO";2005;NA;201,962068965517;142,647727272727;933,239559475;30,606954875;18,9786572348485;"2005.06";66,7;2905;1089,375;1815,625;37,5;193,7635;72,6613125;121,1021875
"145";"MA";2005;NA;212,105839416058;130,809722222222;991,364512351064;33,5104115539568;23,0158499393939;"2005.06";7,3;2850;1068,75;1781,25;37,5;20,805;7,801875;13,003125
"146";"MG";2005;61,6955378148148;191,379381443299;118,58275261324;933,515297183824;28,9439090402802;17,254537609319;"2005.06";30,4;2850;1068,75;1781,25;37,5;86,64;32,49;54,15
"147";"MS";2005;NA;205,601724137931;98,23;967,089710604167;30,80929905;18,925119;"2005.06";30;3600;1368;2232;38;108;41,04;66,96
"148";"MT";2005;NA;173,888571428571;126,724242424242;980,154530720721;33,193948266129;20,2863475555556;"2005.06";366;3600;1375,2;2224,8;38,2;1317,6;503,3232;814,2768
"149";"PA";2005;NA;191,64156626506;191,628488372093;997,239564153846;32,913556;23,7318663139535;"2005.06";0;0;0;0;0;0;0;0
"150";"PB";2005;NA;226,250746268657;89,9871428571429;964,2959895;30,6844744705882;21,1635653970588;"2005.06";8,5;810;283,5;526,5;35;6,885;2,40975;4,47525
"151";"PE";2005;NA;226,1;86,6623655913978;955,96107384058;29,7522261612903;20,230761827957;"2005.06";3,2;705;232,65;472,35;33;2,256;0,74448;1,51152
