"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"271","AC",2010,0,0,NA,33.8,83.7,0,0
"272","AL",2010,0.2,0.1,NA,29120.4,51.1,0,0
"273","AM",2010,0,0,NA,347,35,0,0
"274","AP",2010,0,0,NA,0,2.9,0,0
"275","BA",2010,1611.1,978,16.4292368326765,2792.2,2277.4,3507.5,0
"276","CE",2010,3.1,2,NA,180.5,949.3,0,0
"277","DF",2010,1.7,1,NA,0,262.9,175.7,5.079
"278","ES",2010,0,0,21.9,3524.8,81.7,0,0
"279","GO",2010,428.9,266.4,0,46206.8,6009.8,8181.6,74.7814
"280","MA",2010,71.1,43.4,NA,2327.5,879.7,1599.7,0
"281","MG",2010,115.8,70.4,24.9871115971786,56013.6,6526.7,2913.6,85.275
"282","MS",2010,228.8,139.6,NA,33476.7,3423.2,5169.4,73.34
"283","MT",2010,2561.2,1626.4,13.3741604109048,13661.2,7619.7,20412.2,0
"284","PA",2010,0,0,16.9333333333333,521.9,544.7,314.4,0
"285","PB",2010,0.9,0.6,NA,5246.3,97,0,0
"286","PE",2010,0.6,0.4,NA,16820.8,190.9,0,0
"287","PI",2010,67.3,40.7,NA,836.9,705.1,1144.3,0
"288","PR",2010,3.1,1.9,27.65,43321.1,12247.7,15424.1,3314.8206
"289","RJ",2010,0,0,19.0916030534351,2537.8,16.9,0,0
"290","RN",2010,2.2,1.4,NA,2729.4,49.4,0,0
"291","RO",2010,0,0,15.31,136.7,350.9,425.3,0
"292","RR",2010,0,0,NA,0,13,10.4,0
"293","RS",2010,0,0,NA,82,5776.3,11621.3,1974.819
"294","SC",2010,0,0,NA,0,3571.5,1489.2,242.1645
"295","SE",2010,0,0,NA,2025.6,928.1,0,0
"296","SP",2010,73.3,44.7,28.05,361723.3,4327,1708.5,111.3259
"297","TO",2010,19.1,11.6,NA,239,385.3,1227.1,0
"298","AC",2011,0,0,NA,52.6,100.3,0,0
"299","AL",2011,0.1,0.1,NA,27705.4,22.4,0,0
"300","AM",2011,0,0,NA,287,36,0,0
"301","AP",2011,0,0,NA,0,2.1,0,0
"302","BA",2011,1240,756.4,16.4945780377214,2557.3,2174.3,3182.6,0
"303","CE",2011,0.2,0.1,NA,77.4,73.9,0,0
"304","DF",2011,0,0,NA,0,353.6,176,5.7
"305","ES",2011,0,0,25.5741646354803,4003.8,76.5,0,0
"306","GO",2011,338.7,210,0,45220.1,8575.9,8251.5,60.4
"307","MA",2011,73.9,45.1,NA,2265.6,731.6,1650.6,0
"308","MG",2011,106.6,64.8,22.1617414466828,50241.8,7807.4,3058.7,90.1
"309","MS",2011,219.8,135.2,NA,33859.8,6576.4,4628.3,42.9
"310","MT",2011,2754,1707.5,6.93019513176423,13153.7,15610.4,21849,0
"311","PA",2011,0,0,17.6110260336907,666.4,599.7,316.7,0
"312","PB",2011,0,0,NA,6723.1,4.2,0,0
"313","PE",2011,0.2,0.1,NA,17642.2,24.1,0,0
"314","PI",2011,74.1,45.2,NA,992,787.2,1263.1,0
"315","PR",2011,2.2,1.4,24.6414811643836,40519.5,16757.1,10941.9,2501
"316","RJ",2011,0,0,20.2114427860697,2207.9,14.9,0,0
"317","RN",2011,0.3,0.2,NA,2973.3,2.6,0,0
"318","RO",2011,0,0,9.31149806703131,157.1,453.7,462.2,0
"319","RR",2011,0,0,NA,0,13,10.4,0
"320","RS",2011,0,0,NA,95.1,3342.7,6526.6,2742.2
"321","SC",2011,0,0,NA,0,2947,1084.9,235.6
"322","SE",2011,0,0,NA,2551.5,543.7,0,0
"323","SP",2011,64,39.2,18.3528176573983,305636.4,4901.2,1597.6,110.7
"324","TO",2011,21.8,13.3,NA,1366.2,447.6,1382.9,0
"325","AC",2012,0,0,NA,70.3,111.6,0,0
"326","AL",2012,0,0,NA,23533.49,21.9,0,0
"327","AM",2012,0,0,NA,266.47,30.8,0,0
"328","AP",2012,0,0,NA,0,1.9,0,0
"329","BA",2012,903.8,546.8,15.5528061759748,3083.82,1899.3,2692,0
"330","CE",2012,0.3,0.2,NA,57,98.1,0,0
"331","DF",2012,0,0,NA,0,500.8,186.7,4.6
"332","ES",2012,0,0,27.7743219706395,3431.58,61.4,0,0
