"","UF","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"315","MS","2011.12","62","3545","1365","2180","38.5","219.8","84.6","135.2"
"316","GO","2011.12","89.6","3780","1436","2344","38","338.7","128.7","210"
"317","DF","2011.12","0","0","0","0","","0","0","0"
"318","MG","2011.12","29.6","3600","1411","2189","39.2","106.6","41.8","64.8"
"319","ES","2011.12","0","0","0","0","0","0","0","0"
"320","RJ","2011.12","0","0","0","0","0","0","0","0"
"321","SP","2011.12","17.1","3740","1451","2289","38.8","64","24.8","39.2"
"322","PR","2011.12","1.5","1439","547","892","38","2.2","0.8","1.4"
"323","SC","2011.12","0","0","0","0","0","0","0","0"
"324","RS","2011.12","0","0","0","0","0","0","0","0"
"325","RR","2012.13","0","0","0","0","0","0","0","0"
"326","RO","2012.13","0","0","0","0","0","0","0","0"
"327","AC","2012.13","0","0","0","0","0","0","0","0"
"328","AM","2012.13","0","0","0","0","0","0","0","0"
"329","AP","2012.13","0","0","0","0","0","0","0","0"
"330","PA","2012.13","0","0","0","0","0","0","0","0"
"331","TO","2012.13","6","3150","1213","1937","38.5","18.9","7.3","11.6"
"332","MA","2012.13","16.7","3970","1568","2402","39.5","66.3","26.2","40.1"
"333","PI","2012.13","11.4","3270","1275","1995","39","37.3","14.5","22.8"
"334","CE","2012.13","0.9","295","103","192","35","0.3","0.1","0.2"
"335","RN","2012.13","0.07","3000","1050","1950","35","0.3","0.1","0.2"
"336","PB","2012.13","0.1","300","105","195","35","0","0","0"
"337","PE","2012.13","0.1","380","133","247","35","0","0","0"
"338","AL","2012.13","0.1","320","112","208","35","0","0","0"
"339","SE","2012.13","0","0","0","0","0","0","0","0"
"340","BA","2012.13","271.4","3330","1315","2015","39.5","903.8","357","546.8"
"341","MT","2012.13","475.3","3915","1539","2376","39.3","1860.8","731.3","1129.5"
"342","MS","2012.13","39.5","4365","1724","2641","39.5","172.4","68.1","104.3"
"343","GO","2012.13","46.1","3870","1525","2345","39.4","178.4","70.3","108.1"
"344","DF","2012.13","0","0","0","0","0","0","0","0"
"345","MG","2012.13","20","3375","1316","2059","39","67.5","26.3","41.2"
"346","ES","2012.13","0","0","0","0","0","0","0","0"
"347","RJ","2012.13","0","0","0","0","0","0","0","0"
"348","SP","2012.13","5.8","3615","1428","2187","39.5","21","8.3","12.7"
"349","PR","2012.13","0.8","2625","998","1628","38","2.1","0.8","1.3"
"350","SC","2012.13","0","0","0","0","0","0","0","0"
"351","RS","2012.13","0","0","0","0","0","0","0","0"
"352","RR","2013.14","0","0","0","0","0","0","0","0"
"353","RO","2013.14","0","0","0","0","0","0","0","0"
"354","AC","2013.14","0","0","0","0","0","0","0","0"
"355","AM","2013.14","0","0","0","0","0","0","0","0"
"356","AP","2013.14","0","0","0","0","0","0","0","0"
"357","PA","2013.14","0","0","0","0","0","0","0","0"
"358","TO","2013.14","4.8","4020","1548","2472","38.5","19.3","7.4","11.9"
"359","MA","2013.14","18.6","4140","1635","2505","39.5","77","30.4","46.6"
"360","PI","2013.14","12.1","4125","1629","2496","39.5","49.9","19.7","30.2"
"361","CE","2013.14","1.8","780","273","507","35","1.4","0.5","0.9"
"362","RN","2013.14","0.4","3810","1448","2362","38","1.5","0.6","0.9"
"363","PB","2013.14","0.1","660","231","429","35","0.1","0","0"
"364","PE","2013.14","0.3","540","189","351","35","0.2","0.1","0.1"
"365","AL","2013.14","0.1","480","168","312","35","0","0","0"
"366","SE","2013.14","0","0","0","0","0","0","0","0"
"367","BA","2013.14","319.4","3870","1513","2357","39.1","1236.1","483.3","752.8"
"368","MT","2013.14","643.1","3960","1564","2396","39.5","2546.7","1005.9","1540.7"
"369","MS","2013.14","37.5","4275","1689","2586","39.5","160.3","63.3","97"
"370","GO","2013.14","53.6","3930","1548","2382","39.4","210.6","83","127.7"
"371","DF","2013.14","0","0","0","0","0","0","0","0"
"372","MG","2013.14","20.9","3469","1353","2116","39","72.5","28.3","44.2"
"373","ES","2013.14","0","0","0","0","38","0","0","0"
